NAME,Male_under_5E,Male_under_5M,Male_5_to_9E,Male_5_to_9M,Male_10_to_14E,Male_10_to_14M,Male_15_to_17E,Male_15_to_17M,Female_under_5E,Female_under_5M,Female_5_to_9E,Female_5_to_9M,Female_10_to_14E,Female_10_to_14M,Female_15_to_17E,Female_15_to_17M,Sex_By_Age_TotalE,Sex_By_Age_TotalM,Male_65_to_66E,Male_65_to_66M,Male_67_to_69E,Male_67_to_69M,Male_70_to_74E,Male_70_to_74M,Male_75_to_79E,Male_75_to_79M,Male_80_to_84E,Male_80_to_84M,Male_85_and_overE,Male_85_and_overM,Female_65_to_66E,Female_65_to_66M,Female_67_to_69E,Female_67_to_69M,Female_70_to_74E,Female_70_to_74M,Female_75_to_79E,Female_75_to_79M,Female_80_to_84E,Female_80_to_84M,Female_85_and_overE,Female_85_and_overM,Median_AgeE,Median_AgeM,AsianAloneE,AsianAloneM,BlackAloneE,BlackAloneM,GEO_ID,state,county,tract,block group,WhiteAloneE,WhiteAloneM,HispanicAloneE,HispanicAloneM,AmericanIndianAloneE,AmericanIndianAloneM,NativeHawaiianAloneE,NativeHawaiianAloneM,SomeOtherRaceAloneE,SomeOtherRaceAloneM,TwoorMoreRacesAloneE,TwoorMoreRacesAloneM,TwoorMoreRacesIncludingSomeotherRaceAloneE,TwoorMoreRacesIncludingSomeotherRaceAloneM,TwoorMoreRacesExcludingSomeotherRaceAloneE,TwoorMoreRacesExcludingSomeotherRaceAloneM,TotalRaceE,TotalRaceM,DroveAloneE,DroveAloneM,TotalTransportationE,TotalTransportationM,Drove_20_to_24E,Drove_20_to_24M,Drove_25_to_29E,Drove_25_to_29M,Drove_30_to_34E,Drove_30_to_34M,Drove_35_to_44E,Drove_35_to_44M,Drove_45_to_59E,Drove_45_to_59M,Drove_60_or_MoreE,Drove_60_or_MoreM,Kindergaten_MaleE,Kindergaten_MaleM,Grade_1_to_4_MaleE,Grade_1_to_4_MaleM,Grade_5_to_8_MaleE,Grade_5_to_8_MaleM,Grade_9_to_12_MaleE,Grade_9_to_12_MaleM,Kindergaten_FemaleE,Kindergaten_FemaleM,Grade_1_to_4_FemaleE,Grade_1_to_4_FemaleM,Grade_5_to_8_FemaleE,Grade_5_to_8_FemaleM,Grade_9_to_12_FemaleE,Grade_9_to_12_FemaleM,Kindergaten_TotalMaleE,Kindergaten_TotalMaleM,Grade_1_to_4_TotalMaleE,Grade_1_to_4_TotalMaleM,Grade_5_to_8_TotalMaleE,Grade_5_to_8_TotalMaleM,Grade_9_to_12_TotalMaleE,Grade_9_to_12_TotalMaleM,Kindergaten_TotalFemaleE,Kindergaten_TotalFemaleM,Grade_1_to_4_TotalFemaleE,Grade_1_to_4_TotalFemaleM,Grade_5_to_8_TotalFemaleE,Grade_5_to_8_TotalFemaleM,Grade_9_to_12_TotalFemaleE,Grade_9_to_12_TotalFemaleM,NoSchoolingE,NoSchoolingM,HighSchoolDiplomaE,HighSchoolDiplomaM,GEDorAlternativeE,GEDorAlternativeM,SomeCollegeLessThan1YearE,SomeCollegeLessThan1YearM,SomeCollege1orMoreYearsNoDegreeE,SomeCollege1orMoreYearsNoDegreeM,AssociateDegreeE,AssociateDegreeM,BachelorsDegreeE,BachelorsDegreeM,MastersDegreeE,MastersDegreeM,ProfessionalSchoolDegreeE,ProfessionalSchoolDegreeM,DoctorateDegreeE,DoctorateDegreeM,TotalEducationAttainmentE,TotalEducationAttainmentM,MedianHouseholdIncomeE,MedianHouseholdIncomeM,VeteranE,VeteranM,TotalVeteranE,TotalVeteranM,CivilianInLaborForceEmployedE,CivilianInLaborForceEmployedM,TotalInLaborForceE,TotalInLaborForceM,VacantE,VacantM,TotalOccupancyE,TotalOccupancyM,OccupiedE,OccupiedM,RenterOccupiedNoVehicleE,RenterOccupiedNoVehicleM,OwnerOccupiedNoVehicleE,OwnerOccupiedNoVehicleM,TotalVehicleByTenureE,TotalVehicleByTenureM,TotalGrossRentE,TotalGrossRentM,OwnerOccupiedE,OwnerOccupiedM,TotalOwnerOccupiedE,TotalOwnerOccupiedM,BroadbandE,BroadbandM,TotalBroadbandE,TotalBroadbandM
"Block Group 1, Census Tract 1.01, Mecklenburg County, North Carolina",17,12,0,13,0,13,0,13,0,13,0,13,6,11,0,13,708,319,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,26.0,2.0,43,21,132,127,1500000US371190001011,37,119,000101,1,376,279,39,60,17,12,0,13,0,13,101,94,0,13,101,94,708,319,373,230,482,273,0,13,19,32,19,34,60,93,88,140,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,11,0,13,0,13,0,13,0,13,0,13,0,13,0,13,463,297,0,13,0,13,0,13,463,297,125986.0,54042.0,0,13,685,319,554,340,575,323,42,70,415,146,373,125,0,13,0,13,373,125,373,125,0,13,373,125,321,120,373,125
"Block Group 2, Census Tract 1.01, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,395,229,0,13,40,64,0,13,0,13,0,13,10,30,0,13,0,13,9,29,0,13,0,13,0,13,57.0,19.0,100,148,0,13,1500000US371190001012,37,119,000101,2,115,96,180,242,0,13,0,13,0,13,0,13,0,13,0,13,395,229,186,140,276,257,16,28,49,31,0,13,0,13,40,64,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,50,69,0,13,23,14,89,117,90,136,26,18,17,30,0,13,0,13,295,255,102513.0,25512.0,10,30,395,229,376,230,376,230,0,13,279,162,279,162,0,13,0,13,279,162,247,161,32,15,279,162,279,162,279,162
"Block Group 1, Census Tract 1.02, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1009,429,0,13,23,31,4,7,0,13,0,13,0,13,0,13,0,13,10,8,0,13,0,13,11,16,37.0,10.0,31,59,68,79,1500000US371190001021,37,119,000102,1,600,359,235,255,75,111,0,13,0,13,0,13,0,13,0,13,1009,429,193,183,454,229,40,40,0,13,0,13,0,13,16,26,111,173,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,86,113,0,13,0,13,5,7,168,246,468,225,255,188,14,22,0,13,996,430,111445.0,15507.0,5,7,1009,429,934,430,934,430,49,79,715,226,666,228,18,28,11,16,666,228,376,166,290,176,666,228,655,234,666,228
"Block Group 2, Census Tract 1.02, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,15,2,15,2,0,13,1305,245,0,13,56,70,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,30.0,2.0,127,125,46,37,1500000US371190001022,37,119,000102,2,1010,212,98,43,0,13,0,13,0,13,24,37,0,13,24,37,1305,245,432,156,1018,211,46,45,15,24,49,39,0,13,28,47,16,25,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,2,15,25,0,13,15,25,16,3,59,55,70,60,32,37,462,152,272,177,108,14,0,13,1034,221,99018.0,23272.0,0,13,1275,245,1204,246,1216,247,298,185,1266,216,968,198,27,30,0,13,968,198,968,198,0,13,968,198,698,191,968,198
"Block Group 1, Census Tract 1.03, Mecklenburg County, North Carolina",29,32,0,13,0,13,15,24,56,70,0,13,0,13,0,13,2137,277,0,13,13,21,39,61,29,34,0,13,0,13,0,13,15,24,15,23,0,13,0,13,0,13,29.0,2.0,362,289,367,124,1500000US371190001031,37,119,000103,1,1098,227,168,80,0,13,0,13,54,75,88,55,16,24,72,47,2137,277,848,193,1428,230,194,121,48,42,130,71,0,13,28,32,125,100,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,15,24,0,13,0,13,0,13,0,13,0,13,17,27,14,23,54,73,139,129,155,122,613,176,250,117,33,37,102,92,1377,264,121591.0,55960.0,148,133,2037,249,1632,208,1668,206,126,109,1084,62,958,126,64,66,14,22,958,126,757,123,201,71,958,126,902,135,958,126
"Block Group 1, Census Tract 1.04, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,1156,261,29,35,0,13,17,28,19,31,0,13,0,13,12,20,31,37,15,25,27,42,0,13,0,13,37.0,13.0,50,48,14,24,1500000US371190001041,37,119,000104,1,1074,263,18,30,0,13,0,13,0,13,0,13,0,13,0,13,1156,261,394,153,850,253,106,69,37,37,58,80,0,13,26,26,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,61,72,0,13,27,33,119,105,135,94,479,192,207,88,69,52,15,26,1112,247,112188.0,35926.0,104,94,1156,261,958,262,958,262,744,278,1515,273,771,157,37,42,67,82,771,157,339,130,432,147,771,157,661,157,771,157
"Block Group 1, Census Tract 3.01, Mecklenburg County, North Carolina",12,18,0,13,0,13,0,13,0,13,0,13,0,13,0,13,613,96,8,12,0,13,0,13,0,13,0,13,10,17,8,13,0,13,4,6,0,13,5,8,0,13,33.0,5.0,39,47,4,6,1500000US371190003011,37,119,000301,1,559,86,11,16,0,13,0,13,0,13,0,13,0,13,0,13,613,96,340,82,425,73,71,41,12,14,52,24,5,8,11,17,50,41,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,27,29,0,13,0,13,11,12,11,20,306,79,143,75,75,50,18,35,591,92,90156.0,46836.0,4,6,601,91,495,86,550,91,74,59,498,78,424,59,0,13,0,13,424,59,326,70,98,48,424,59,410,59,424,59
"Block Group 1, Census Tract 3.02, Mecklenburg County, North Carolina",0,13,0,13,0,13,0,13,12,14,0,13,0,13,0,13,237,85,16,20,23,24,0,13,0,13,0,13,0,13,6,9,25,26,0,13,0,13,0,13,0,13,51.0,16.0,0,13,57,46,1500000US371190003021,37,119,000302,1,154,61,12,18,0,13,0,13,0,13,14,18,11,18,3,5,237,85,64,41,91,43,13,21,0,13,18,16,3,5,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,18,20,13,21,9,11,110,56,33,27,20,24,6,11,220,78,146667.0,55027.0,16,24,225,78,197,75,197,75,31,31,193,57,162,54,0,13,18,28,162,54,59,37,103,41,162,54,158,54,162,54
"Block Group 2, Census Tract 3.02, Mecklenburg County, North Carolina",16,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13,412,120,8,17,36,54,0,13,0,13,0,13,0,13,0,13,6,8,0,13,27,21,0,13,0,13,43.0,11.0,0,13,214,79,1500000US371190003022,37,119,000302,2,111,53,71,85,0,13,0,13,0,13,16,3,0,13,16,3,412,120,138,71,189,104,28,38,0,13,23,39,31,42,3,4,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,32,36,31,18,18,28,31,21,36,54,119,64,12,2,0,13,0,13,366,116,23669.0,13186.0,6,12,396,120,189,104,202,106,152,147,491,161,339,97,155,78,6,8,339,97,320,94,19,19,339,97,145,70,339,97
"Block Group 1, Census Tract 4.01, Mecklenburg County, North Carolina",32,36,0,13,0,13,9,15,11,17,0,13,0,13,0,13,1722,279,0,13,43,57,23,36,0,13,0,13,0,13,20,22,45,53,0,13,0,13,0,13,0,13,27.0,1.0,84,69,212,102,1500000US371190004011,37,119,000401,1,1383,275,20,22,0,13,0,13,0,13,23,26,0,13,23,26,1722,279,800,226,1207,258,167,131,25,27,109,65,106,79,53,48,19,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,9,15,0,13,0,13,0,13,0,13,9,14,54,38,0,13,25,40,63,54,103,71,578,203,308,116,40,32,39,37,1250,231,97593.0,12780.0,52,50,1670,271,1521,262,1554,268,109,73,1159,138,1050,141,95,48,0,13,1050,141,904,160,146,74,1050,141,885,161,1050,141
